Invoice_No,Customer_ID,Invoice_Amount,Outstanding_Amount,Due_Days
INV0008656,CUST6641,296630,292258,108
INV0008657,CUST5227,192857,131055,144
INV0008658,CUST9194,205348,28512,35
INV0008659,CUST7437,48616,41094,17
INV0008660,CUST7551,170856,83275,93
INV0008661,CUST9611,188099,40173,106
INV0008662,CUST6862,45194,6173,31
INV0008663,CUST4648,125860,44716,6
INV0008664,CUST1335,216655,26928,162
INV0008665,CUST1577,3149,593,92
INV0008666,CUST3449,175571,29168,27
INV0008667,CUST7465,299275,199808,31
INV0008668,CUST5492,22583,17106,150
INV0008669,CUST7206,156158,142612,88
INV0008670,CUST5762,118160,35386,35
INV0008671,CUST7522,16412,3098,151
INV0008672,CUST5855,170699,29040,167
INV0008673,CUST9413,80717,49749,18
INV0008674,CUST5056,101923,16041,46
INV0008675,CUST1106,50199,18226,78
INV0008676,CUST4031,35657,2361,3
INV0008677,CUST9721,13141,2551,0
INV0008678,CUST2776,101659,64825,157
INV0008679,CUST6753,271840,227459,82
INV0008680,CUST1523,227597,224457,1
INV0008681,CUST2206,116359,17944,122
INV0008682,CUST8281,65688,17956,114
INV0008683,CUST1774,177607,128443,66
INV0008684,CUST9374,36084,34750,121
INV0008685,CUST5213,139082,63531,34
INV0008686,CUST7743,291050,73107,8
INV0008687,CUST9984,170036,54813,33
INV0008688,CUST8181,199699,186768,26
INV0008689,CUST5770,9241,7788,51
INV0008690,CUST5181,13509,2458,34
INV0008691,CUST3217,281425,38700,163
INV0008692,CUST6494,138485,119787,140
INV0008693,CUST6318,283070,65373,111
INV0008694,CUST1694,102276,31778,9
INV0008695,CUST6404,221855,63562,26
INV0008696,CUST8965,272692,80455,72
INV0008697,CUST8796,95818,44917,160
INV0008698,CUST4760,92729,45202,119
INV0008699,CUST3523,110068,86891,143
INV0008700,CUST5062,234413,26470,57
INV0008701,CUST8177,273435,43439,130
INV0008702,CUST3024,4028,1134,38
INV0008703,CUST1653,205271,172136,22
INV0008704,CUST4867,34805,15733,175
INV0008705,CUST4875,12530,57,98
INV0008706,CUST8258,2891,649,97
INV0008707,CUST1268,299278,760,43
INV0008708,CUST7908,22833,14565,39
INV0008709,CUST9305,157426,46370,86
INV0008710,CUST4599,50134,39557,119
INV0008711,CUST8097,37271,31799,49
INV0008712,CUST7598,60922,26741,118
INV0008713,CUST9218,5870,778,58
INV0008714,CUST6658,202289,47381,120
INV0008715,CUST9335,153782,6018,113
INV0008716,CUST7025,203449,145505,89
INV0008717,CUST4225,89045,19268,12
INV0008718,CUST7301,153348,91635,148
INV0008719,CUST5892,297350,7924,79
INV0008720,CUST9732,265729,112968,40
INV0008721,CUST6149,172377,155290,175
INV0008722,CUST6269,11220,1335,90
INV0008723,CUST3621,289849,174174,166
INV0008724,CUST4851,43861,38017,67
INV0008725,CUST8764,70473,21936,121
INV0008726,CUST7675,127172,89470,30
INV0008727,CUST2537,165105,17358,156
INV0008728,CUST8671,160885,144701,110
INV0008729,CUST3561,196373,189501,150
INV0008730,CUST4156,173423,93845,125
INV0008731,CUST8846,44003,19248,87
INV0008732,CUST1641,168581,101588,175
INV0008733,CUST2017,227784,186911,72
INV0008734,CUST8180,202751,23008,163
INV0008735,CUST5728,211799,15581,62
INV0008736,CUST6987,192035,173058,113
INV0008737,CUST3187,245374,564,16
INV0008738,CUST2559,181621,42852,80
INV0008739,CUST5422,137040,28997,141
INV0008740,CUST8902,150823,2718,144
INV0008741,CUST4237,136547,48540,150
INV0008742,CUST5939,100853,93530,109
INV0008743,CUST7755,216796,137252,122
INV0008744,CUST8065,42758,15054,96
INV0008745,CUST3081,145454,73732,147
INV0008746,CUST4423,264578,139666,167
INV0008747,CUST1884,80554,31529,147
INV0008748,CUST7759,227606,34281,174
INV0008749,CUST1091,267309,229303,139
INV0008750,CUST1964,279256,91012,110
INV0008751,CUST7207,121951,91576,131
INV0008752,CUST6077,194569,84112,1
INV0008753,CUST8381,68115,40631,133
INV0008754,CUST4345,50359,9278,45
INV0008755,CUST4035,235414,126594,134
INV0008756,CUST2979,156607,156447,17
INV0008757,CUST2179,98868,49106,112
INV0008758,CUST7004,98027,88972,79
INV0008759,CUST9156,32983,26483,74
INV0008760,CUST7698,77767,71122,37
INV0008761,CUST3825,125661,25660,65
INV0008762,CUST1661,183130,171407,176
INV0008763,CUST3325,230940,127983,27
INV0008764,CUST9091,283126,66201,100
INV0008765,CUST5555,289088,110442,121
INV0008766,CUST4708,140881,137743,94
INV0008767,CUST8904,9447,7669,170
INV0008768,CUST5692,67419,41470,108
INV0008769,CUST6297,50118,9554,136
INV0008770,CUST5397,128912,50598,82
INV0008771,CUST2384,195011,25834,160
INV0008772,CUST6138,10428,1378,101
INV0008773,CUST9456,197578,64899,112
INV0008774,CUST2894,268657,163132,145
INV0008775,CUST7526,83855,52641,115
INV0008776,CUST7062,33269,29693,68
INV0008777,CUST1080,45415,20622,137
INV0008778,CUST8240,130328,32801,87
INV0008779,CUST2930,298460,122514,76
INV0008780,CUST6226,55975,35241,77
INV0008781,CUST5277,41076,25493,104
INV0008782,CUST5411,279566,66126,40
INV0008783,CUST2918,81425,30611,89
INV0008784,CUST1981,244827,204706,12
INV0008785,CUST4258,97977,33934,130
INV0008786,CUST1142,1259,594,93
INV0008787,CUST6244,206331,37847,176
INV0008788,CUST9989,129954,110928,94
INV0008789,CUST8918,231348,17208,58
INV0008790,CUST8737,106496,105073,102
INV0008791,CUST6687,147975,9843,180
INV0008792,CUST8455,91247,685,112
INV0008793,CUST6863,182706,122057,43
INV0008794,CUST3711,294358,71567,35
INV0008795,CUST9849,57349,36283,79
INV0008796,CUST2940,110369,54020,65
INV0008797,CUST9256,266056,117909,50
INV0008798,CUST2753,289472,266183,135
INV0008799,CUST9147,195412,62067,123
INV0008800,CUST8901,83956,13932,101
INV0008801,CUST4893,248967,103917,109
INV0008802,CUST7868,132707,129354,132
INV0008803,CUST4222,94135,52317,7
INV0008804,CUST6154,140744,88155,22
INV0008805,CUST8236,83262,19375,103
INV0008806,CUST2666,142006,52919,95
INV0008807,CUST5927,276891,257664,154
INV0008808,CUST2276,157117,135557,92
INV0008809,CUST7220,2721,1745,15
INV0008810,CUST5026,25591,1095,150
INV0008811,CUST2010,288671,69310,12
INV0008812,CUST7948,15918,5987,90
INV0008813,CUST2538,232805,187604,160
INV0008814,CUST9365,239846,110819,105
INV0008815,CUST9066,93367,49258,112
INV0008816,CUST4623,91373,83639,170
INV0008817,CUST4096,228937,110321,173
INV0008818,CUST5111,146007,126747,148
INV0008819,CUST9505,108006,24787,2
INV0008820,CUST6974,56386,16344,175
INV0008821,CUST7985,119214,56192,68
INV0008822,CUST4436,136778,12111,140
INV0008823,CUST6444,182649,55119,81
INV0008824,CUST1667,111490,49646,81
INV0008825,CUST9873,111136,63838,70
INV0008826,CUST3453,121056,94561,165
INV0008827,CUST4744,117912,26548,102
INV0008828,CUST5657,214361,214067,117
INV0008829,CUST9662,188387,122441,3
INV0008830,CUST1415,87098,57169,67
INV0008831,CUST2079,240767,96430,53
INV0008832,CUST4654,288367,192434,33
INV0008833,CUST3301,172531,156180,161
INV0008834,CUST4647,240027,221694,56
INV0008835,CUST5384,294983,194887,117
INV0008836,CUST8545,258139,108114,139
INV0008837,CUST8020,3860,3272,173
INV0008838,CUST2286,154383,125465,27
INV0008839,CUST4978,32278,8614,145
INV0008840,CUST1492,195233,73985,162
INV0008841,CUST6119,116441,110545,143
INV0008842,CUST4289,77211,13124,115
INV0008843,CUST2470,85705,78122,18
INV0008844,CUST1384,142619,93117,138
INV0008845,CUST9676,207806,195259,153
INV0008846,CUST2518,203345,198789,17
INV0008847,CUST7106,174658,54394,140
INV0008848,CUST8193,79522,76361,155
INV0008849,CUST5505,199139,179088,112
INV0008850,CUST8643,239273,127253,20
INV0008851,CUST2131,152985,151167,13
INV0008852,CUST8424,223630,143953,62
INV0008853,CUST2235,151176,76745,4
INV0008854,CUST6115,128064,85905,134
INV0008855,CUST4941,193173,100275,175
INV0008856,CUST7429,18618,17006,32
INV0008857,CUST9082,124687,15582,145
INV0008858,CUST9332,239848,33547,74
INV0008859,CUST8785,76947,46777,39
INV0008860,CUST5271,241503,157648,96
INV0008861,CUST6152,90892,14261,103
INV0008862,CUST8242,120479,40569,180
INV0008863,CUST3391,93839,90078,12
INV0008864,CUST9475,214260,197005,83
INV0008865,CUST6371,119610,18665,160
INV0008866,CUST5489,148039,76820,14
INV0008867,CUST7878,96158,92683,46
INV0008868,CUST8603,63875,15640,141
INV0008869,CUST4520,201228,64738,126
INV0008870,CUST6141,95570,13828,92
INV0008871,CUST8393,226429,34106,148
INV0008872,CUST2581,268747,3345,84
INV0008873,CUST2016,221165,80896,123
INV0008874,CUST8579,200437,31283,6
INV0008875,CUST5257,179880,55945,159
INV0008876,CUST7783,16804,4631,8
INV0008877,CUST5145,21806,14532,49
INV0008878,CUST2196,157497,90524,136
INV0008879,CUST1825,8596,5898,29
INV0008880,CUST6123,66722,61786,43
INV0008881,CUST7773,181106,38545,126
INV0008882,CUST8013,21854,8529,104
INV0008883,CUST7823,94201,78654,30
INV0008884,CUST9148,259420,58845,159
INV0008885,CUST4886,279249,124868,156
INV0008886,CUST3835,240866,45183,26
INV0008887,CUST7906,158950,137684,111
INV0008888,CUST2425,290125,57881,97
INV0008889,CUST6090,71857,64373,164
INV0008890,CUST7460,282745,253204,61
INV0008891,CUST7993,266901,13376,77
INV0008892,CUST3190,167364,36672,73
INV0008893,CUST8035,231684,116872,63
INV0008894,CUST4284,265613,184633,25
INV0008895,CUST4454,1983,407,168
INV0008896,CUST8058,212891,209361,150
INV0008897,CUST4881,131780,78582,159
INV0008898,CUST3206,163085,74891,126
INV0008899,CUST5259,33400,5695,95
INV0008900,CUST2721,81489,44654,134
INV0008901,CUST3679,254766,178427,83
INV0008902,CUST1132,190794,92379,155
INV0008903,CUST7337,87225,40396,38
INV0008904,CUST7130,283689,253833,129
INV0008905,CUST1682,33746,11474,53
INV0008906,CUST8066,188626,56144,142
INV0008907,CUST4597,297468,12172,149
INV0008908,CUST2786,299360,108352,41
INV0008909,CUST2554,170880,48164,37
INV0008910,CUST4028,40176,16640,1
INV0008911,CUST4855,123449,105430,76
INV0008912,CUST6335,164158,12751,142
INV0008913,CUST8064,109190,46009,130
INV0008914,CUST6818,149392,16945,111
INV0008915,CUST9331,178143,126479,35
INV0008916,CUST3810,231974,92858,147
INV0008917,CUST9479,76354,72443,179
INV0008918,CUST4864,213154,139485,34
INV0008919,CUST3982,286146,253502,33
INV0008920,CUST4964,282495,85131,85
INV0008921,CUST2340,196918,94201,110
INV0008922,CUST6215,80578,56179,71
INV0008923,CUST1978,209079,67999,179
INV0008924,CUST3244,206386,162564,95
INV0008925,CUST2357,194625,794,39
INV0008926,CUST9991,290897,135955,142
INV0008927,CUST9928,293638,113744,144
INV0008928,CUST4730,124241,40336,155
INV0008929,CUST2189,201001,65133,36
INV0008930,CUST6332,93972,11707,33
INV0008931,CUST7702,231884,136217,128
INV0008932,CUST5290,53158,3307,157
INV0008933,CUST1785,5280,4406,8
INV0008934,CUST9092,205700,36447,138
INV0008935,CUST8965,289867,116332,80
INV0008936,CUST2567,238224,66804,31
INV0008937,CUST3955,170887,155359,148
INV0008938,CUST1847,221882,218232,177
INV0008939,CUST2415,225899,50833,126
INV0008940,CUST7852,291068,20053,142
INV0008941,CUST9994,38758,3035,117
INV0008942,CUST8815,49773,25862,103
INV0008943,CUST6364,45006,15075,80
INV0008944,CUST2118,66530,7320,95
INV0008945,CUST8701,282118,163214,136
INV0008946,CUST7103,33838,22142,32
INV0008947,CUST8942,187676,142218,44
INV0008948,CUST2283,183830,110562,74
INV0008949,CUST6558,134660,53427,22
INV0008950,CUST8651,37565,26856,127
INV0008951,CUST5538,21671,21326,144
INV0008952,CUST1967,273768,200819,13
INV0008953,CUST2597,98953,47301,161
INV0008954,CUST4857,148777,84655,15
INV0008955,CUST8013,221549,147875,160
INV0008956,CUST9147,91051,55409,6
INV0008957,CUST2245,206553,141641,22
INV0008958,CUST6710,201251,147544,180
INV0008959,CUST7207,262631,52580,16
INV0008960,CUST1589,8665,6030,167
INV0008961,CUST5187,215417,144320,109
INV0008962,CUST5847,264586,61244,87
INV0008963,CUST8212,11555,4700,84
INV0008964,CUST1805,90222,31433,180
INV0008965,CUST9416,229840,151386,83
INV0008966,CUST2358,100176,70671,119
INV0008967,CUST6662,23613,11241,29
INV0008968,CUST1683,208114,161863,52
INV0008969,CUST6290,15188,5606,49
INV0008970,CUST4879,20649,14974,96
INV0008971,CUST2791,65321,64620,73
INV0008972,CUST3366,272056,130217,26
INV0008973,CUST2042,31527,31213,101
INV0008974,CUST3466,206053,55687,114
INV0008975,CUST5346,296183,7953,44
INV0008976,CUST9872,83001,22144,180
INV0008977,CUST4595,217957,137822,76
INV0008978,CUST3344,19576,13319,31
INV0008979,CUST3793,172594,64853,145
INV0008980,CUST5721,242371,70784,121
INV0008981,CUST1060,288026,190258,163
INV0008982,CUST3411,102576,23865,21
INV0008983,CUST6615,267787,149495,151
INV0008984,CUST2456,177523,85643,115
INV0008985,CUST4764,243105,61538,74
INV0008986,CUST8552,183960,82764,20
INV0008987,CUST9650,224935,155064,18
INV0008988,CUST6623,109222,23899,119
INV0008989,CUST6629,227344,68002,66
INV0008990,CUST8871,151311,139410,8
INV0008991,CUST6883,37303,34763,124
INV0008992,CUST1008,70878,35701,104
INV0008993,CUST9362,232503,83355,78
INV0008994,CUST3460,35030,27226,18
INV0008995,CUST7760,85933,53429,81
INV0008996,CUST9186,248544,100526,129
INV0008997,CUST1700,99499,88994,116
INV0008998,CUST6364,243057,213999,13
INV0008999,CUST7306,48586,22279,17
INV0009000,CUST5911,84501,41466,163
INV0009001,CUST9485,109757,7485,176
INV0009002,CUST8485,9303,1300,9
INV0009003,CUST5958,224197,74892,115
INV0009004,CUST3328,156601,99639,75
INV0009005,CUST7785,161745,136702,180
INV0009006,CUST8517,262823,128611,36
INV0009007,CUST1308,266102,107088,165
INV0009008,CUST2878,185194,28217,5
INV0009009,CUST2678,184219,67134,78
INV0009010,CUST3363,43081,29194,16
INV0009011,CUST1222,103338,8219,89
INV0009012,CUST9779,221771,58890,151
INV0009013,CUST1624,195050,154135,101
INV0009014,CUST9860,272447,14148,163
INV0009015,CUST8502,178431,62529,109
INV0009016,CUST7408,73124,782,131
INV0009017,CUST3731,42653,25198,154
INV0009018,CUST1342,101837,54124,179
INV0009019,CUST7812,65624,23295,50
INV0009020,CUST3701,65548,62880,89
INV0009021,CUST8072,296822,10635,118
INV0009022,CUST6919,277133,23626,105
INV0009023,CUST2249,152971,53168,14
INV0009024,CUST8773,112246,1733,130
INV0009025,CUST2740,297577,7059,16
INV0009026,CUST2511,268605,80491,37
INV0009027,CUST6216,53784,44,135
INV0009028,CUST7960,171431,122021,105
INV0009029,CUST2032,274786,261472,72
INV0009030,CUST8243,174795,59897,138
INV0009031,CUST4278,283059,31801,28
INV0009032,CUST5460,190144,42953,173
INV0009033,CUST9459,151803,137526,115
INV0009034,CUST8369,132899,81004,141
INV0009035,CUST6283,200955,196180,29
INV0009036,CUST6234,219951,161202,139
INV0009037,CUST4880,90459,39055,56
INV0009038,CUST1310,175648,73928,56
INV0009039,CUST4540,230913,225411,2
INV0009040,CUST7105,244334,157314,160
INV0009041,CUST2454,47262,44615,120
INV0009042,CUST7858,219360,206327,108
INV0009043,CUST8151,185396,102338,7
INV0009044,CUST2015,65496,30271,155
INV0009045,CUST4819,107609,101156,171
INV0009046,CUST5119,123325,74087,39
INV0009047,CUST8919,92048,91411,172
INV0009048,CUST3324,72195,44414,93
INV0009049,CUST2410,22980,16899,78
INV0009050,CUST5424,159170,124757,126
INV0009051,CUST9499,92089,72531,138
INV0009052,CUST5351,202695,95772,86
INV0009053,CUST3555,295013,60264,143
INV0009054,CUST4799,141852,37575,55
INV0009055,CUST7918,196414,97045,30
INV0009056,CUST8403,292304,87513,71
INV0009057,CUST1542,268639,8158,115
INV0009058,CUST3289,237675,116869,145
INV0009059,CUST5134,130275,47441,163
INV0009060,CUST7324,12391,10439,160
INV0009061,CUST7030,234829,127489,164
INV0009062,CUST2414,219142,25982,121
INV0009063,CUST2317,109771,46465,91
INV0009064,CUST6725,1225,592,120
INV0009065,CUST9634,68864,44202,164
INV0009066,CUST3225,265905,194551,162
INV0009067,CUST8245,118968,111811,48
INV0009068,CUST2042,173737,7456,74
INV0009069,CUST4234,210112,22102,18
INV0009070,CUST4639,144879,31852,61
INV0009071,CUST1938,144507,33245,139
INV0009072,CUST1090,3987,256,128
INV0009073,CUST4983,53456,10250,23
INV0009074,CUST6953,34277,10886,133
INV0009075,CUST6463,115263,67918,23
INV0009076,CUST1642,82267,6729,163
INV0009077,CUST2814,157456,7132,15
INV0009078,CUST5950,61029,6411,159
INV0009079,CUST9269,250926,103710,144
INV0009080,CUST7519,153375,43228,160
INV0009081,CUST6334,283525,166507,8
INV0009082,CUST8905,207503,59136,176
INV0009083,CUST6409,83072,825,67
INV0009084,CUST1139,177727,160040,70
INV0009085,CUST6621,284432,47499,91
INV0009086,CUST3519,141791,101306,119
INV0009087,CUST5814,222129,153231,7
INV0009088,CUST5389,281827,209441,94
INV0009089,CUST7406,282992,49423,102
INV0009090,CUST1637,166491,9418,147
INV0009091,CUST2768,110148,62429,72
INV0009092,CUST4466,238575,184110,159
INV0009093,CUST9322,169506,129933,63
INV0009094,CUST4917,111528,56749,30
INV0009095,CUST9255,213355,181036,153
INV0009096,CUST8520,224846,165453,175
INV0009097,CUST4008,39032,10085,154
INV0009098,CUST7852,69064,54062,175
INV0009099,CUST7410,35344,20517,147
INV0009100,CUST7521,106580,60931,177
INV0009101,CUST9209,144330,17461,171
INV0009102,CUST7551,216947,175465,161
INV0009103,CUST1687,276783,151094,21
INV0009104,CUST3396,69761,27637,68
INV0009105,CUST2017,11861,3295,103
INV0009106,CUST2101,34242,6340,118
INV0009107,CUST8652,87001,71415,13
INV0009108,CUST9970,256801,53366,34
INV0009109,CUST8485,174163,73983,73
INV0009110,CUST8924,85636,28747,166
INV0009111,CUST4007,167024,48188,73
INV0009112,CUST8847,174784,165311,97
INV0009113,CUST7999,196441,104956,106
INV0009114,CUST1639,77105,29218,174
INV0009115,CUST2033,133666,6525,37
INV0009116,CUST1901,275936,244230,176
INV0009117,CUST7469,280989,67790,178
INV0009118,CUST9831,269741,124853,69
INV0009119,CUST4231,259061,110746,46
INV0009120,CUST8191,225786,138306,6
INV0009121,CUST2288,234590,115255,91
INV0009122,CUST3487,19475,189,119
INV0009123,CUST4596,83541,65527,133
INV0009124,CUST3574,32888,19682,37
INV0009125,CUST2417,170304,141199,42
INV0009126,CUST9349,96579,7861,40
INV0009127,CUST9588,168907,132322,144
INV0009128,CUST2434,33355,218,1
INV0009129,CUST8711,102533,10038,71
INV0009130,CUST5175,140309,68774,26
INV0009131,CUST8050,156315,145517,171
INV0009132,CUST6699,294039,86389,160
INV0009133,CUST8578,247879,49645,51
INV0009134,CUST1058,23017,953,67
INV0009135,CUST4832,178990,164597,118
INV0009136,CUST1720,256129,230860,11
INV0009137,CUST2013,40567,23665,172
INV0009138,CUST2272,233945,148299,122
INV0009139,CUST5895,74064,46770,12
INV0009140,CUST9267,10655,8005,50
INV0009141,CUST2619,82098,48977,112
INV0009142,CUST5484,236231,54108,125
INV0009143,CUST8318,273939,36238,12
INV0009144,CUST4620,262404,236483,69
INV0009145,CUST1259,120283,90072,144
INV0009146,CUST7140,96398,95852,29
INV0009147,CUST3426,84331,27487,143
INV0009148,CUST1236,250935,69447,93
INV0009149,CUST1746,254177,94173,47
INV0009150,CUST1343,228766,188058,8
INV0009151,CUST9318,44248,31364,139
INV0009152,CUST4765,55232,30845,10
INV0009153,CUST4867,76014,5052,0
INV0009154,CUST5206,164261,125335,9
INV0009155,CUST2327,228348,52197,118
INV0009156,CUST4005,16648,7426,90
INV0009157,CUST7788,298262,110953,103
INV0009158,CUST7559,71812,7039,97
INV0009159,CUST7518,47034,14927,170
INV0009160,CUST2602,95129,5694,59
INV0009161,CUST1908,106495,103625,40
INV0009162,CUST9172,170881,110151,92
INV0009163,CUST6641,287038,17574,152
INV0009164,CUST4397,165351,80918,145
INV0009165,CUST6389,148016,14106,139
INV0009166,CUST1134,89541,19837,94
INV0009167,CUST1385,169279,84768,7
INV0009168,CUST7713,71988,2978,92
INV0009169,CUST8585,140732,51466,113
INV0009170,CUST2658,190388,36003,44
INV0009171,CUST7821,51658,36758,35
INV0009172,CUST6794,89190,33655,120
INV0009173,CUST5952,106612,76426,35
INV0009174,CUST6588,242583,8841,164
INV0009175,CUST5942,142355,39969,16
INV0009176,CUST7475,78738,27779,49
INV0009177,CUST2785,201822,90680,53
INV0009178,CUST6839,208185,1589,117
INV0009179,CUST7307,294866,106828,178
INV0009180,CUST3519,221608,70478,91
INV0009181,CUST1741,254882,111157,76
INV0009182,CUST9238,170978,49194,3
INV0009183,CUST9478,199506,30604,133
INV0009184,CUST5908,60939,39709,118
INV0009185,CUST2717,206986,70125,131
INV0009186,CUST4198,105723,60684,6
INV0009187,CUST8157,95850,21642,178
INV0009188,CUST9009,184412,1932,65
INV0009189,CUST1183,193266,19757,176
INV0009190,CUST2610,14060,7771,171
INV0009191,CUST5933,127502,13716,16
INV0009192,CUST4656,242786,80763,154
INV0009193,CUST6663,291238,185833,89
INV0009194,CUST9063,217411,36934,0
INV0009195,CUST8757,248030,27757,13
INV0009196,CUST9715,276223,70541,93
INV0009197,CUST8086,11482,7955,82
INV0009198,CUST5205,174612,115085,47
INV0009199,CUST3834,11269,1731,113
INV0009200,CUST2496,266204,1384,95
INV0009201,CUST7087,82809,63252,92
INV0009202,CUST7116,26359,20386,55
INV0009203,CUST2860,239357,209513,121
INV0009204,CUST2945,139882,17216,7
INV0009205,CUST5551,225755,79490,168
INV0009206,CUST6968,252059,183217,166
INV0009207,CUST5884,134378,43553,77
INV0009208,CUST8765,212748,171724,118
INV0009209,CUST3196,267627,86861,73
INV0009210,CUST3779,276564,188230,43
INV0009211,CUST6877,180374,23149,103
INV0009212,CUST9092,152105,15662,40
INV0009213,CUST4757,255241,77960,150
INV0009214,CUST6955,246115,122330,115
INV0009215,CUST6816,90737,52114,173
INV0009216,CUST8421,44756,39094,101
INV0009217,CUST2841,11830,8203,72
INV0009218,CUST5759,284673,67359,108
INV0009219,CUST7852,181410,113897,148
INV0009220,CUST9409,44185,7744,119
INV0009221,CUST4107,259575,21011,57
INV0009222,CUST7704,11098,1848,103
INV0009223,CUST8200,233929,203218,98
INV0009224,CUST9487,63307,48340,128
INV0009225,CUST7354,10550,1209,99
INV0009226,CUST4752,249268,179263,176
INV0009227,CUST4998,100750,71465,44
INV0009228,CUST7504,228226,56259,9
INV0009229,CUST3873,156224,1585,123
INV0009230,CUST4310,158266,112182,27
INV0009231,CUST6039,40805,2732,98
INV0009232,CUST5128,155466,146327,114
INV0009233,CUST8287,98936,30609,106
INV0009234,CUST2815,126862,49022,23
INV0009235,CUST1207,236663,147533,59
INV0009236,CUST8863,204655,16953,74
INV0009237,CUST1203,17131,314,40
INV0009238,CUST7291,20109,580,79
INV0009239,CUST8389,257324,172706,83
INV0009240,CUST5503,233902,86226,83
INV0009241,CUST5610,95901,76261,138
INV0009242,CUST9836,105533,92448,54
INV0009243,CUST5174,134362,80007,35
INV0009244,CUST8629,268071,97928,66
INV0009245,CUST3774,8735,4526,89
INV0009246,CUST3268,287880,84131,174
INV0009247,CUST3096,172943,161026,73
INV0009248,CUST4403,12803,5697,35
INV0009249,CUST7303,270703,22281,36
INV0009250,CUST8101,52607,22144,78
INV0009251,CUST7518,213126,210864,43
INV0009252,CUST6098,187006,69075,38
INV0009253,CUST6926,195671,154985,179
INV0009254,CUST1797,292356,186939,82
INV0009255,CUST7640,122409,43445,157
INV0009256,CUST5490,20880,12013,156
INV0009257,CUST5866,209251,51176,38
INV0009258,CUST3310,271739,14229,56
INV0009259,CUST1271,59243,54271,82
INV0009260,CUST5184,63969,41519,6
INV0009261,CUST3125,5657,5579,17
INV0009262,CUST9011,55551,24990,10
INV0009263,CUST2869,89242,68303,61
INV0009264,CUST4410,46853,25137,90
INV0009265,CUST1901,218922,81783,143
INV0009266,CUST5471,291158,233505,62
INV0009267,CUST3475,196664,50576,134
INV0009268,CUST3016,246378,50608,32
INV0009269,CUST4700,244094,140496,149
INV0009270,CUST9619,272495,842,46
INV0009271,CUST6893,190177,125269,10
INV0009272,CUST8203,196905,2740,177
INV0009273,CUST7983,68664,12594,25
INV0009274,CUST4238,246208,108538,179
INV0009275,CUST5595,290957,287019,171
INV0009276,CUST9553,241233,184157,89
INV0009277,CUST7173,94829,56274,153
INV0009278,CUST4465,91243,18808,90
INV0009279,CUST8009,148583,26102,73
INV0009280,CUST3634,230128,11955,42
INV0009281,CUST9809,143271,52700,138
INV0009282,CUST3932,219743,70328,5
INV0009283,CUST3686,288697,255962,158
INV0009284,CUST9385,219354,105876,90
INV0009285,CUST3921,5080,1547,130
INV0009286,CUST5616,246893,179793,56
INV0009287,CUST6422,92213,2024,41
INV0009288,CUST3401,173016,99717,66
INV0009289,CUST3794,22216,10088,62
INV0009290,CUST4323,217018,17160,43
INV0009291,CUST8669,244929,174310,64
INV0009292,CUST8436,58050,16086,126
INV0009293,CUST5645,234695,163691,4
INV0009294,CUST7628,58128,47532,135
INV0009295,CUST1488,145616,30988,77
INV0009296,CUST2128,149226,61403,121
INV0009297,CUST2604,292794,11569,68
INV0009298,CUST6732,93137,53583,172
INV0009299,CUST3037,276119,146299,180
INV0009300,CUST3438,167641,50277,170
INV0009301,CUST6350,41993,36440,21
INV0009302,CUST7959,132709,91540,74
INV0009303,CUST9091,21155,1590,34
INV0009304,CUST3154,133490,15724,118
INV0009305,CUST8224,248420,167726,75
INV0009306,CUST1319,61138,15219,150
INV0009307,CUST5676,56722,824,106
INV0009308,CUST7213,79981,32796,44
INV0009309,CUST8002,207169,126901,0
INV0009310,CUST2909,178047,108041,73
INV0009311,CUST3262,140694,105344,88
INV0009312,CUST6792,16406,795,115
INV0009313,CUST6838,119654,62537,55
INV0009314,CUST8086,155263,35285,118
INV0009315,CUST2991,243074,93688,7
INV0009316,CUST4384,231159,23211,9
INV0009317,CUST5165,260929,29762,128
INV0009318,CUST3571,274856,240498,142
INV0009319,CUST7928,211223,181785,46
INV0009320,CUST7232,283636,80122,142
INV0009321,CUST6865,59722,29526,99
INV0009322,CUST4872,57183,34160,38
INV0009323,CUST2355,145387,96465,30
INV0009324,CUST5573,65957,4883,174
INV0009325,CUST5696,132371,130636,69
INV0009326,CUST2390,145999,118720,143
INV0009327,CUST6822,122953,36898,79
INV0009328,CUST9346,87568,69729,82
INV0009329,CUST1893,203931,62270,155
INV0009330,CUST8426,210477,45883,14
INV0009331,CUST8984,137615,133785,69
INV0009332,CUST2061,274351,54168,121
INV0009333,CUST8515,115751,59568,122
INV0009334,CUST2730,275615,89145,78
INV0009335,CUST1982,277135,5571,89
INV0009336,CUST4273,123621,83063,0
INV0009337,CUST3906,38616,27188,173
INV0009338,CUST3976,69881,655,65
INV0009339,CUST9802,99096,12452,94
INV0009340,CUST5481,30510,29909,8
INV0009341,CUST5349,182114,101415,52
INV0009342,CUST6207,119005,56774,149
INV0009343,CUST4867,260331,222208,147
INV0009344,CUST4684,181300,147709,179
INV0009345,CUST9536,236520,2975,136
INV0009346,CUST8521,126161,14110,92
INV0009347,CUST3604,262511,199994,133
INV0009348,CUST4163,267225,134932,116
INV0009349,CUST4036,274609,241293,52
INV0009350,CUST7404,44113,19898,176
INV0009351,CUST7665,270450,71851,91
INV0009352,CUST1390,229973,70112,81
INV0009353,CUST2266,231059,10250,145
INV0009354,CUST6167,17616,12846,97
