Vendor_ID,Bill_No,Bill_Amount,Outstanding,Due_Days
VEND5508,BILL0012101,33592,18074,156
VEND5938,BILL0012102,218615,8383,130
VEND5264,BILL0012103,193672,118668,132
VEND6261,BILL0012104,104988,25147,39
VEND1047,BILL0012105,32534,29620,162
VEND3386,BILL0012106,103928,81588,161
VEND2041,BILL0012107,205148,174105,107
VEND8468,BILL0012108,196044,168078,6
VEND2495,BILL0012109,221276,120189,57
VEND4285,BILL0012110,5958,3364,28
VEND9859,BILL0012111,81684,46083,39
VEND9179,BILL0012112,167008,85175,170
VEND1576,BILL0012113,230795,45877,155
VEND6014,BILL0012114,199577,161069,51
VEND7143,BILL0012115,44573,7500,93
VEND1426,BILL0012116,175061,59697,31
VEND7485,BILL0012117,65672,20429,149
VEND6047,BILL0012118,233224,140647,26
VEND2726,BILL0012119,149315,48431,49
VEND1473,BILL0012120,62356,55924,96
VEND3590,BILL0012121,144778,87800,66
VEND5761,BILL0012122,162872,72790,162
VEND8618,BILL0012123,115446,105577,90
VEND4508,BILL0012124,229220,81993,47
VEND1648,BILL0012125,113749,76530,94
VEND9543,BILL0012126,100621,71643,99
VEND8745,BILL0012127,243171,63369,113
VEND7443,BILL0012128,97734,97443,119
VEND4308,BILL0012129,24998,10092,113
VEND4170,BILL0012130,120020,89837,98
VEND5900,BILL0012131,189236,160483,100
VEND2097,BILL0012132,239420,14566,70
VEND4584,BILL0012133,194018,74811,43
VEND3211,BILL0012134,25477,8776,104
VEND5916,BILL0012135,156935,152237,145
VEND8519,BILL0012136,219860,102451,34
VEND5831,BILL0012137,189042,129313,157
VEND6149,BILL0012138,58041,15126,122
VEND8607,BILL0012139,242101,142792,0
VEND2601,BILL0012140,212786,28233,69
VEND7686,BILL0012141,106325,102787,168
VEND1071,BILL0012142,8216,2774,107
VEND5496,BILL0012143,65776,53064,148
VEND2507,BILL0012144,154008,65837,138
VEND5207,BILL0012145,121442,7106,115
VEND1795,BILL0012146,221242,199676,100
VEND3253,BILL0012147,69325,53737,18
VEND3534,BILL0012148,104809,92170,28
VEND7432,BILL0012149,173000,136369,82
VEND6503,BILL0012150,164158,112436,149
VEND8250,BILL0012151,37782,10079,53
VEND1872,BILL0012152,130123,85148,34
VEND5496,BILL0012153,170727,166497,17
VEND8332,BILL0012154,75962,45432,16
VEND6597,BILL0012155,6307,490,77
VEND4821,BILL0012156,39836,34538,120
VEND2443,BILL0012157,171281,49314,113
VEND8736,BILL0012158,74316,31343,53
VEND4208,BILL0012159,216362,129107,114
VEND4362,BILL0012160,142003,50087,40
VEND7516,BILL0012161,121325,65193,57
VEND9199,BILL0012162,10686,5674,179
VEND8023,BILL0012163,154319,51627,49
VEND4951,BILL0012164,134330,87899,155
VEND6956,BILL0012165,54208,25177,30
VEND4099,BILL0012166,39601,27196,135
VEND4969,BILL0012167,195863,148725,9
VEND5131,BILL0012168,12009,8036,96
VEND1274,BILL0012169,106817,62240,55
VEND5196,BILL0012170,81371,27443,122
VEND8685,BILL0012171,3846,814,81
VEND8957,BILL0012172,104049,51641,177
VEND5724,BILL0012173,118873,53110,164
VEND4284,BILL0012174,54370,11044,171
VEND6832,BILL0012175,166977,55879,119
VEND8123,BILL0012176,167214,127233,78
VEND6242,BILL0012177,72515,10320,178
VEND4404,BILL0012178,138788,91251,169
VEND6985,BILL0012179,19557,9907,27
VEND5909,BILL0012180,110424,78654,90
VEND1501,BILL0012181,53877,53687,62
VEND2233,BILL0012182,69950,23601,69
VEND5406,BILL0012183,168367,118229,16
VEND7242,BILL0012184,92552,90919,126
VEND6849,BILL0012185,211391,15432,177
VEND2637,BILL0012186,182975,154888,17
VEND8173,BILL0012187,222628,31135,79
VEND8840,BILL0012188,195893,150578,154
VEND3317,BILL0012189,149903,142835,38
VEND7815,BILL0012190,103663,8688,6
VEND9436,BILL0012191,221171,19723,93
VEND7003,BILL0012192,4426,738,78
VEND8483,BILL0012193,82919,57441,146
VEND1491,BILL0012194,46233,45548,24
VEND8096,BILL0012195,65057,43821,128
VEND9437,BILL0012196,142691,9187,39
VEND5194,BILL0012197,189454,59750,152
VEND7334,BILL0012198,100414,88378,90
VEND5927,BILL0012199,54545,2054,119
VEND8359,BILL0012200,44646,18065,79
VEND3244,BILL0012201,92596,23252,15
VEND6805,BILL0012202,226462,2199,80
VEND1318,BILL0012203,17329,6869,16
VEND9239,BILL0012204,213775,195541,102
VEND3751,BILL0012205,202727,2664,144
VEND6577,BILL0012206,82473,31982,34
VEND8944,BILL0012207,217156,32474,103
VEND3798,BILL0012208,12260,892,155
VEND5904,BILL0012209,92706,29906,61
VEND7891,BILL0012210,91472,6370,115
VEND6042,BILL0012211,17488,4027,43
VEND9784,BILL0012212,130066,99706,173
VEND8749,BILL0012213,100765,51552,50
VEND4241,BILL0012214,83229,80112,75
VEND3044,BILL0012215,53005,30631,86
VEND9426,BILL0012216,199070,14515,83
VEND8383,BILL0012217,39857,24331,11
VEND7689,BILL0012218,36870,23051,63
VEND8639,BILL0012219,219672,132404,60
VEND6502,BILL0012220,11505,7461,37
VEND2775,BILL0012221,200827,506,11
VEND6788,BILL0012222,196060,152187,17
VEND5948,BILL0012223,86710,17184,152
VEND5872,BILL0012224,23858,84,95
VEND2855,BILL0012225,66351,20849,81
VEND7823,BILL0012226,206653,84009,91
VEND6806,BILL0012227,16067,1024,176
VEND4395,BILL0012228,78000,16328,114
VEND1318,BILL0012229,6333,2363,4
VEND9084,BILL0012230,89074,30076,51
VEND5258,BILL0012231,167174,5352,2
VEND2112,BILL0012232,126901,60483,93
VEND6084,BILL0012233,210962,112890,90
VEND4672,BILL0012234,219805,133483,16
VEND6023,BILL0012235,174578,80988,110
VEND9902,BILL0012236,128577,5865,63
VEND4736,BILL0012237,196104,61866,173
VEND3993,BILL0012238,2351,1946,63
VEND3468,BILL0012239,39963,21357,3
VEND7800,BILL0012240,56765,5665,99
VEND4015,BILL0012241,39098,19210,152
VEND4919,BILL0012242,215399,69992,15
VEND2611,BILL0012243,110420,36051,69
VEND6814,BILL0012244,207815,28960,65
VEND2542,BILL0012245,6970,414,149
VEND1237,BILL0012246,215126,77995,33
VEND6659,BILL0012247,41285,36917,168
VEND9638,BILL0012248,13596,1663,119
VEND6602,BILL0012249,180923,36923,1
VEND9194,BILL0012250,232244,207910,167
VEND1644,BILL0012251,135678,49175,44
VEND5129,BILL0012252,185175,23263,164
VEND9582,BILL0012253,88426,49369,8
VEND7634,BILL0012254,92129,57130,42
VEND9235,BILL0012255,27920,11973,153
VEND8098,BILL0012256,35994,26585,99
VEND6817,BILL0012257,41317,1518,122
VEND5002,BILL0012258,183465,34153,93
VEND8948,BILL0012259,193551,94199,11
VEND4976,BILL0012260,198659,173546,172
VEND6587,BILL0012261,170937,52025,30
VEND9669,BILL0012262,8270,2757,3
VEND6853,BILL0012263,48648,17997,158
VEND6395,BILL0012264,71452,57750,112
VEND3966,BILL0012265,141320,138388,17
VEND8232,BILL0012266,165112,126781,112
VEND5218,BILL0012267,45950,15759,92
VEND2231,BILL0012268,164645,61157,120
VEND6182,BILL0012269,52851,48821,154
VEND4585,BILL0012270,166593,131738,98
VEND8656,BILL0012271,175522,35027,106
VEND5906,BILL0012272,141639,121464,110
VEND5444,BILL0012273,181674,58760,52
VEND5331,BILL0012274,132305,27006,107
VEND4030,BILL0012275,141452,38840,160
VEND7490,BILL0012276,174987,23332,123
VEND5996,BILL0012277,111354,63956,142
VEND6446,BILL0012278,81967,17556,156
VEND6532,BILL0012279,228699,180451,57
VEND3144,BILL0012280,85119,76394,159
VEND7643,BILL0012281,30382,17690,4
VEND6000,BILL0012282,221552,15825,25
VEND6896,BILL0012283,242055,48356,111
VEND1762,BILL0012284,210782,34164,66
VEND9789,BILL0012285,119998,3880,148
VEND3084,BILL0012286,169846,49132,1
VEND1843,BILL0012287,37900,23870,0
VEND1163,BILL0012288,19916,8801,136
VEND8225,BILL0012289,22502,19024,166
VEND6589,BILL0012290,75065,41413,100
VEND2370,BILL0012291,123730,34085,120
VEND9778,BILL0012292,5896,1958,143
VEND9536,BILL0012293,106440,89427,115
VEND1794,BILL0012294,170008,38845,53
VEND9512,BILL0012295,72514,16589,74
VEND7657,BILL0012296,116467,78792,20
VEND6777,BILL0012297,187668,176629,3
VEND6818,BILL0012298,44576,18620,144
VEND3582,BILL0012299,190453,162059,176
VEND1701,BILL0012300,25344,12365,79
VEND9849,BILL0012301,132749,46137,145
VEND9418,BILL0012302,213009,178194,27
VEND4196,BILL0012303,27140,20851,40
VEND2346,BILL0012304,6266,3436,74
VEND7248,BILL0012305,57987,29066,127
VEND8003,BILL0012306,173456,31310,83
VEND2196,BILL0012307,247243,27652,37
VEND3016,BILL0012308,146212,48477,30
VEND6543,BILL0012309,188276,165635,132
VEND4661,BILL0012310,51545,25808,178
VEND4816,BILL0012311,182607,9097,2
VEND8859,BILL0012312,2081,383,140
VEND2995,BILL0012313,146664,123800,73
VEND3425,BILL0012314,11408,1036,180
VEND6168,BILL0012315,86463,11421,110
VEND8273,BILL0012316,244622,215117,74
VEND4253,BILL0012317,111462,31194,5
VEND1382,BILL0012318,132449,55400,165
VEND4540,BILL0012319,57354,56021,157
VEND9284,BILL0012320,15036,14628,81
VEND1327,BILL0012321,202465,66306,20
VEND9132,BILL0012322,101390,91492,6
VEND1462,BILL0012323,241229,33843,93
VEND5611,BILL0012324,99063,23023,23
VEND3368,BILL0012325,80792,57958,168
VEND9219,BILL0012326,81971,79728,144
VEND9097,BILL0012327,168945,80314,81
VEND2142,BILL0012328,145707,20875,126
VEND3803,BILL0012329,132283,88655,73
VEND3739,BILL0012330,32771,9910,151
VEND7229,BILL0012331,121862,118781,69
VEND5503,BILL0012332,215421,97572,35
VEND8591,BILL0012333,105090,84897,125
VEND3038,BILL0012334,19389,5515,1
VEND5434,BILL0012335,58942,45018,71
VEND8649,BILL0012336,48603,9169,61
VEND8675,BILL0012337,59421,49357,136
VEND2123,BILL0012338,139610,79082,67
VEND6068,BILL0012339,216096,39723,152
VEND2780,BILL0012340,37407,18088,167
VEND1026,BILL0012341,186137,70556,51
VEND8289,BILL0012342,197743,192992,104
VEND8795,BILL0012343,126762,10743,169
VEND5110,BILL0012344,35640,2764,13
VEND6668,BILL0012345,8715,2341,137
VEND5512,BILL0012346,240091,105302,174
VEND7163,BILL0012347,108346,61292,74
VEND8577,BILL0012348,227218,84877,42
VEND5417,BILL0012349,2908,1995,180
VEND4470,BILL0012350,158038,10260,32
VEND5828,BILL0012351,17706,9587,25
VEND6026,BILL0012352,213483,33932,180
VEND1565,BILL0012353,83070,40909,177
VEND4051,BILL0012354,65386,57382,69
VEND1464,BILL0012355,42877,24211,9
VEND5655,BILL0012356,72907,31575,118
VEND2771,BILL0012357,86787,63491,172
VEND8136,BILL0012358,234200,55654,14
VEND5345,BILL0012359,205923,177836,73
VEND3435,BILL0012360,195556,157629,38
VEND7669,BILL0012361,1456,14,2
VEND7336,BILL0012362,116703,9319,176
VEND6564,BILL0012363,154995,71867,162
VEND4004,BILL0012364,53952,23611,77
VEND3038,BILL0012365,54305,16251,67
VEND5276,BILL0012366,207331,100024,8
VEND5274,BILL0012367,190390,47416,92
VEND8262,BILL0012368,74453,53738,127
VEND3831,BILL0012369,85396,269,72
VEND2544,BILL0012370,202045,75765,173
VEND7788,BILL0012371,149260,29588,179
VEND5834,BILL0012372,55205,1704,109
VEND1514,BILL0012373,7318,718,50
VEND2882,BILL0012374,185657,172723,127
VEND5791,BILL0012375,148824,120848,179
VEND4269,BILL0012376,137435,67646,108
VEND7931,BILL0012377,44451,10317,109
VEND5656,BILL0012378,144322,119683,149
VEND6551,BILL0012379,168493,115311,145
VEND9026,BILL0012380,198338,50006,71
VEND8863,BILL0012381,146605,34463,111
VEND5397,BILL0012382,130258,123356,48
VEND1062,BILL0012383,184189,166027,85
VEND6423,BILL0012384,242519,43713,34
VEND9595,BILL0012385,35319,23139,71
VEND6713,BILL0012386,2400,108,68
VEND8720,BILL0012387,218969,116017,34
VEND6312,BILL0012388,108670,102939,135
VEND2872,BILL0012389,151097,53973,45
VEND2144,BILL0012390,17612,6268,101
VEND6637,BILL0012391,55394,2314,123
VEND5277,BILL0012392,55707,42884,90
VEND6895,BILL0012393,36295,20737,33
VEND3158,BILL0012394,204253,35328,80
VEND3312,BILL0012395,73122,32911,35
VEND7847,BILL0012396,213156,103002,128
VEND7388,BILL0012397,218981,132200,105
VEND8612,BILL0012398,52062,3978,70
VEND3383,BILL0012399,1163,780,66
VEND3513,BILL0012400,104947,4610,112
VEND9834,BILL0012401,222207,72988,177
VEND8991,BILL0012402,136164,105027,116
VEND8616,BILL0012403,120562,80125,142
VEND8263,BILL0012404,74512,70253,102
VEND5600,BILL0012405,94619,24633,79
VEND1246,BILL0012406,163815,158906,29
VEND3312,BILL0012407,205822,199740,40
VEND6694,BILL0012408,53403,19165,15
VEND4123,BILL0012409,130058,95347,102
VEND6255,BILL0012410,29665,8271,114
VEND5410,BILL0012411,44709,6684,26
VEND8258,BILL0012412,53513,52707,91
VEND7894,BILL0012413,131739,131301,91
VEND6465,BILL0012414,106913,75327,0
VEND6986,BILL0012415,84489,3168,163
VEND1637,BILL0012416,188386,168971,81
VEND3560,BILL0012417,125157,106161,167
VEND2814,BILL0012418,222871,43849,106
VEND3592,BILL0012419,124761,99327,11
VEND1324,BILL0012420,49305,47540,44
VEND3313,BILL0012421,68789,62051,34
VEND8903,BILL0012422,81687,2799,79
VEND3366,BILL0012423,128941,46161,113
VEND2756,BILL0012424,141249,33418,120
VEND4793,BILL0012425,113511,39208,18
VEND3090,BILL0012426,108026,14464,65
VEND2754,BILL0012427,57818,6627,8
VEND9269,BILL0012428,130673,118062,53
VEND7025,BILL0012429,227301,32736,16
VEND8915,BILL0012430,206722,68349,107
VEND4057,BILL0012431,112179,62405,72
VEND2773,BILL0012432,203244,134000,8
VEND2762,BILL0012433,87383,77283,135
VEND9323,BILL0012434,100644,66519,95
VEND6997,BILL0012435,226228,49086,96
VEND4108,BILL0012436,64082,27721,66
VEND5873,BILL0012437,122493,73186,119
VEND1791,BILL0012438,73626,51767,144
VEND3695,BILL0012439,148933,34142,51
VEND7470,BILL0012440,149104,16026,117
VEND8422,BILL0012441,13419,9891,29
VEND1240,BILL0012442,172849,84296,3
VEND4951,BILL0012443,16739,10605,68
VEND6744,BILL0012444,123283,27155,23
VEND5902,BILL0012445,107491,29771,76
VEND1764,BILL0012446,164758,100941,27
VEND4860,BILL0012447,74521,23966,10
VEND2443,BILL0012448,211036,85286,151
VEND1453,BILL0012449,56946,19951,16
VEND7572,BILL0012450,71254,19214,150
VEND4292,BILL0012451,100925,14895,92
VEND2295,BILL0012452,2191,2016,152
VEND8213,BILL0012453,192767,159640,145
VEND1939,BILL0012454,25306,981,141
VEND3714,BILL0012455,108507,85496,166
VEND8171,BILL0012456,206538,121527,71
VEND5065,BILL0012457,138204,697,156
VEND2039,BILL0012458,236671,169404,44
VEND5577,BILL0012459,95981,58647,28
VEND9572,BILL0012460,81415,38672,137
VEND3877,BILL0012461,70422,19053,48
VEND1364,BILL0012462,129176,114994,20
VEND5565,BILL0012463,200172,51668,166
VEND9312,BILL0012464,122394,74778,107
VEND8263,BILL0012465,132021,94642,113
VEND2292,BILL0012466,41911,32440,161
VEND9120,BILL0012467,158306,151446,62
VEND7159,BILL0012468,63049,3014,113
VEND9323,BILL0012469,97327,50132,136
VEND9659,BILL0012470,76023,56974,28
VEND7715,BILL0012471,120128,58232,24
VEND2559,BILL0012472,74525,15473,110
VEND8346,BILL0012473,25014,526,122
VEND2143,BILL0012474,30065,5433,28
VEND2572,BILL0012475,41630,30859,167
VEND8429,BILL0012476,27710,4227,177
VEND2947,BILL0012477,136317,85159,90
VEND1385,BILL0012478,225031,205581,157
VEND4497,BILL0012479,229126,147704,119
VEND9844,BILL0012480,33056,28861,20
VEND4945,BILL0012481,162845,61158,41
VEND5521,BILL0012482,159686,146679,58
VEND4712,BILL0012483,110756,108460,179
VEND7467,BILL0012484,83051,45813,88
VEND8088,BILL0012485,195377,107517,149
VEND6646,BILL0012486,97920,37963,161
VEND3681,BILL0012487,6294,598,56
VEND1301,BILL0012488,66008,44124,90
VEND8995,BILL0012489,173527,9746,69
VEND5098,BILL0012490,229447,125990,137
VEND6159,BILL0012491,83398,31667,91
VEND5793,BILL0012492,29642,20557,173
VEND4591,BILL0012493,61622,59404,173
VEND8937,BILL0012494,221329,24933,57
VEND7608,BILL0012495,42480,40031,35
VEND5580,BILL0012496,193824,49826,105
VEND1461,BILL0012497,245005,119208,54
VEND9299,BILL0012498,50377,32258,176
VEND7710,BILL0012499,173319,31943,46
VEND3217,BILL0012500,162829,32803,42
VEND2916,BILL0012501,119706,67074,45
VEND2469,BILL0012502,116058,38019,88
VEND8511,BILL0012503,126349,117130,7
VEND8005,BILL0012504,90321,53728,129
VEND1230,BILL0012505,17092,16567,37
VEND7566,BILL0012506,233188,34150,118
VEND3203,BILL0012507,105577,34237,107
VEND5958,BILL0012508,186607,165964,130
VEND6220,BILL0012509,23492,9205,175
VEND4422,BILL0012510,69583,36348,150
VEND1938,BILL0012511,167557,127172,63
VEND6253,BILL0012512,244204,109646,148
VEND3614,BILL0012513,238993,174831,21
VEND7219,BILL0012514,73913,67190,26
VEND1691,BILL0012515,225875,219939,155
VEND8650,BILL0012516,219321,138337,31
VEND2512,BILL0012517,238879,136441,149
VEND4386,BILL0012518,200914,13211,67
VEND7873,BILL0012519,56742,1132,36
VEND5140,BILL0012520,220126,135357,5
VEND5973,BILL0012521,220648,207724,77
VEND6042,BILL0012522,24127,1718,134
VEND1011,BILL0012523,239279,224862,11
VEND3561,BILL0012524,151383,130433,52
VEND8240,BILL0012525,178200,15113,43
VEND9120,BILL0012526,31374,25619,24
VEND9695,BILL0012527,130874,53431,143
VEND4309,BILL0012528,121987,8552,39
VEND8707,BILL0012529,48265,31891,152
VEND3205,BILL0012530,242674,199574,21
VEND9709,BILL0012531,159133,36586,60
VEND1877,BILL0012532,187159,80532,20
VEND9372,BILL0012533,195272,190685,111
VEND3276,BILL0012534,173597,162649,67
VEND9858,BILL0012535,28029,2440,180
VEND9962,BILL0012536,133266,11024,177
VEND4077,BILL0012537,65653,11985,150
VEND2984,BILL0012538,165630,47917,3
VEND5488,BILL0012539,189686,154578,52
VEND5735,BILL0012540,79660,65312,128
VEND1966,BILL0012541,102011,86,10
VEND6471,BILL0012542,27408,703,54
VEND8336,BILL0012543,14833,11098,33
VEND7723,BILL0012544,19323,16278,148
VEND1397,BILL0012545,58663,48061,128
VEND2456,BILL0012546,214895,19306,173
VEND6529,BILL0012547,179157,65115,35
VEND9504,BILL0012548,139992,7587,104
VEND1943,BILL0012549,232853,227969,72
VEND1259,BILL0012550,137104,42037,144
VEND8804,BILL0012551,240540,51622,76
VEND1676,BILL0012552,209545,73737,105
VEND4654,BILL0012553,171703,39841,57
VEND8580,BILL0012554,38216,18554,67
VEND3745,BILL0012555,98747,77472,174
VEND5061,BILL0012556,117681,71559,162
VEND4748,BILL0012557,234871,6318,93
VEND9137,BILL0012558,84388,69689,161
VEND9087,BILL0012559,182093,133832,33
VEND7304,BILL0012560,145585,144924,53
VEND9093,BILL0012561,118034,52959,85
VEND5172,BILL0012562,30310,18980,32
VEND8503,BILL0012563,89318,85308,57
VEND7795,BILL0012564,180061,40244,54
VEND1341,BILL0012565,57714,57682,3
VEND6721,BILL0012566,34337,20541,162
VEND8183,BILL0012567,36593,8429,86
VEND7627,BILL0012568,139430,9837,14
VEND8082,BILL0012569,95619,77116,164
VEND8950,BILL0012570,221076,206225,100
VEND4409,BILL0012571,159678,104530,126
VEND6546,BILL0012572,97937,15822,145
VEND9432,BILL0012573,81973,1110,84
VEND1151,BILL0012574,169577,151082,69
VEND9641,BILL0012575,56142,45331,21
VEND8666,BILL0012576,169072,164155,169
VEND9006,BILL0012577,186975,143003,13
VEND5721,BILL0012578,222930,172901,72
VEND7952,BILL0012579,221731,113144,141
VEND7923,BILL0012580,237477,157846,163
VEND9283,BILL0012581,79085,50041,52
VEND5735,BILL0012582,75203,26033,47
VEND6117,BILL0012583,120941,18761,58
VEND1971,BILL0012584,188955,87147,17
VEND3107,BILL0012585,118279,50728,130
VEND2171,BILL0012586,237708,80221,48
VEND7850,BILL0012587,72130,18297,161
VEND5797,BILL0012588,153315,52761,2
VEND7638,BILL0012589,164077,24579,172
VEND6450,BILL0012590,127240,50069,156
VEND9806,BILL0012591,156109,22150,52
VEND4842,BILL0012592,5600,506,9
VEND1312,BILL0012593,248668,123082,120
VEND6800,BILL0012594,208454,34380,137
VEND4368,BILL0012595,148920,66138,40
VEND2069,BILL0012596,236896,34933,102
VEND7228,BILL0012597,51002,26424,75
VEND6378,BILL0012598,77950,63134,45
VEND9807,BILL0012599,180943,28060,102
VEND2434,BILL0012600,76392,70537,12
VEND8464,BILL0012601,150741,142026,30
VEND5319,BILL0012602,36768,9911,122
VEND2320,BILL0012603,160793,100766,92
VEND9335,BILL0012604,124220,84282,101
VEND7894,BILL0012605,46693,23287,121
VEND1627,BILL0012606,72162,2591,106
VEND5350,BILL0012607,61783,11528,61
VEND1353,BILL0012608,40402,32969,29
VEND9105,BILL0012609,200932,171994,45
VEND3477,BILL0012610,50469,46856,77
VEND9721,BILL0012611,183569,61751,79
VEND5161,BILL0012612,174957,97340,147
VEND1557,BILL0012613,234132,27271,85
VEND7222,BILL0012614,246734,124886,87
VEND8805,BILL0012615,128458,73011,10
VEND4047,BILL0012616,232114,111659,137
VEND1202,BILL0012617,134469,77940,5
VEND8789,BILL0012618,167107,62840,0
VEND3812,BILL0012619,210026,129672,152
VEND8395,BILL0012620,90616,6076,173
VEND2482,BILL0012621,179085,75413,91
VEND1946,BILL0012622,126792,54387,166
VEND8537,BILL0012623,213747,200640,129
VEND8277,BILL0012624,222182,78646,29
VEND4039,BILL0012625,190801,145424,57
VEND1795,BILL0012626,234154,6090,122
VEND6950,BILL0012627,58630,54561,29
VEND4086,BILL0012628,48349,37458,160
VEND9260,BILL0012629,217437,107578,57
VEND7426,BILL0012630,9629,3017,39
VEND4578,BILL0012631,174860,147155,174
VEND3206,BILL0012632,137355,56478,90
VEND9715,BILL0012633,152950,95492,46
VEND6819,BILL0012634,167973,165835,161
VEND8236,BILL0012635,240507,207061,58
VEND2651,BILL0012636,207929,127383,45
VEND5441,BILL0012637,72810,4818,128
VEND1867,BILL0012638,218618,36921,86
VEND1032,BILL0012639,43694,33128,26
VEND5275,BILL0012640,246798,61388,47
VEND9451,BILL0012641,203723,177423,119
VEND5914,BILL0012642,38807,17920,79
VEND5699,BILL0012643,179900,152805,52
VEND6412,BILL0012644,179440,168833,40
VEND6954,BILL0012645,121301,85037,54
VEND3837,BILL0012646,228510,185734,56
VEND7704,BILL0012647,38420,16012,84
VEND5424,BILL0012648,90197,46969,162
VEND6313,BILL0012649,70094,7175,11
VEND6075,BILL0012650,99554,91306,100
VEND2554,BILL0012651,200972,153480,105
VEND2313,BILL0012652,26057,22745,148
VEND3426,BILL0012653,80424,45471,58
VEND6951,BILL0012654,124348,72364,38
VEND8929,BILL0012655,62927,6831,64
VEND4547,BILL0012656,1523,30,175
VEND5729,BILL0012657,176837,129753,50
VEND6641,BILL0012658,76021,65122,86
VEND2323,BILL0012659,94507,53629,158
VEND9045,BILL0012660,110158,56658,0
VEND4430,BILL0012661,76005,59550,145
VEND9542,BILL0012662,223022,150360,40
VEND4111,BILL0012663,88013,58769,74
VEND9221,BILL0012664,199892,123354,127
VEND1773,BILL0012665,43006,33571,69
VEND8707,BILL0012666,229878,172990,42
VEND5790,BILL0012667,90145,27786,28
VEND2099,BILL0012668,200317,91362,136
VEND8878,BILL0012669,39732,29655,50
VEND8745,BILL0012670,19285,13593,129
VEND5649,BILL0012671,23107,7888,145
VEND5168,BILL0012672,49309,6719,126
VEND7185,BILL0012673,143664,403,22
VEND1864,BILL0012674,157915,33819,10
VEND8186,BILL0012675,140931,78302,47
VEND9773,BILL0012676,65510,3708,48
VEND5237,BILL0012677,40612,764,96
VEND3823,BILL0012678,133515,74309,36
VEND9982,BILL0012679,224454,205446,94
VEND3617,BILL0012680,28937,4981,172
VEND7953,BILL0012681,44756,17038,122
VEND8438,BILL0012682,134731,24862,32
VEND9142,BILL0012683,82727,68475,166
VEND1341,BILL0012684,187758,118487,78
VEND2369,BILL0012685,137843,53428,153
VEND1910,BILL0012686,64044,58546,56
VEND9992,BILL0012687,29589,1659,102
VEND1002,BILL0012688,104558,72849,51
VEND5543,BILL0012689,71067,64277,173
VEND3101,BILL0012690,102321,41055,86
VEND4980,BILL0012691,76237,43919,153
VEND6636,BILL0012692,134355,2281,104
VEND7333,BILL0012693,104239,94306,45
VEND5727,BILL0012694,198949,6559,153
VEND6482,BILL0012695,177567,3070,2
VEND1979,BILL0012696,98836,1925,155
VEND6882,BILL0012697,81155,3116,62
VEND3068,BILL0012698,80304,49671,117
VEND4877,BILL0012699,26524,777,110
VEND6370,BILL0012700,61187,15091,104
VEND2366,BILL0012701,103229,41052,152
VEND7550,BILL0012702,149202,56221,115
VEND9776,BILL0012703,179164,106535,132
VEND1910,BILL0012704,178905,177661,85
VEND7802,BILL0012705,167767,58907,10
VEND5293,BILL0012706,172959,98015,132
VEND7589,BILL0012707,155405,133126,127
VEND2551,BILL0012708,210579,178206,11
VEND4427,BILL0012709,195322,13837,44
VEND6092,BILL0012710,226801,44319,142
VEND1342,BILL0012711,197102,151808,86
VEND5140,BILL0012712,225203,85788,31
VEND1773,BILL0012713,146898,127,3
VEND3543,BILL0012714,229265,135565,21
VEND8402,BILL0012715,236600,34697,36
VEND1422,BILL0012716,47228,18459,134
VEND2966,BILL0012717,63298,28721,113
VEND8385,BILL0012718,6623,2025,73
VEND6805,BILL0012719,50455,48898,157
VEND1729,BILL0012720,200875,75043,104
VEND1306,BILL0012721,57952,46863,32
VEND4092,BILL0012722,94449,91061,100
VEND6887,BILL0012723,220767,13874,133
VEND1359,BILL0012724,11520,151,116
VEND5277,BILL0012725,126526,26603,45
VEND1905,BILL0012726,49905,6787,176
VEND8090,BILL0012727,96758,26923,135
VEND6367,BILL0012728,10183,3491,68
VEND2738,BILL0012729,34416,3216,91
VEND8715,BILL0012730,47702,6440,98
VEND1454,BILL0012731,236314,123861,53
VEND7477,BILL0012732,92643,88906,48
VEND6159,BILL0012733,61518,13956,171
VEND3568,BILL0012734,45275,28199,66
VEND5837,BILL0012735,194802,104173,121
VEND5239,BILL0012736,68994,44974,116
VEND2848,BILL0012737,60899,12687,19
VEND1726,BILL0012738,89525,17209,8
VEND9372,BILL0012739,179333,145561,172
VEND7831,BILL0012740,148071,99377,154
VEND3598,BILL0012741,2070,1555,96
VEND5882,BILL0012742,203382,147458,58
VEND8021,BILL0012743,32576,7737,10
VEND5469,BILL0012744,232061,186403,117
VEND5959,BILL0012745,56973,46753,62
VEND2120,BILL0012746,179918,90450,122
VEND8045,BILL0012747,248985,167651,86
VEND8583,BILL0012748,111213,78291,78
VEND1653,BILL0012749,200245,103926,178
VEND8401,BILL0012750,27363,5904,5
VEND5919,BILL0012751,182677,29769,67
VEND7331,BILL0012752,63647,40527,26
VEND5423,BILL0012753,101370,41218,167
VEND4865,BILL0012754,142060,5366,140
VEND7321,BILL0012755,169187,75276,77
VEND2932,BILL0012756,155815,3365,138
VEND2859,BILL0012757,147166,50556,79
VEND6300,BILL0012758,148831,146747,100
VEND2397,BILL0012759,189873,18768,142
VEND2732,BILL0012760,44929,33774,157
VEND4554,BILL0012761,57680,27067,172
VEND8447,BILL0012762,88813,7185,71
VEND4103,BILL0012763,243926,51910,80
VEND8803,BILL0012764,173614,127995,68
VEND6399,BILL0012765,220322,105658,54
VEND6712,BILL0012766,109113,97610,100
